City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Saint Anthony,US,2020-06-24 02:23:40,45.02,-93.22,64.0,77,20,3.36
70,San Jose,US,2020-06-24 02:22:29,37.34,-121.89,77.0,56,20,13.87
71,Ler,SS,2020-06-24 02:23:40,8.3,30.14,73.72,78,38,4.05
72,Oranjestad,AW,2020-06-24 02:23:40,12.52,-70.03,82.4,83,40,13.87
73,Butaritari,KI,2020-06-24 02:23:40,3.07,172.79,83.57,73,15,13.31
74,Alpena,US,2020-06-24 02:23:40,45.06,-83.43,57.2,100,90,12.75
75,Cidreira,BR,2020-06-24 02:23:40,-30.18,-50.21,68.0,75,17,5.46
76,Gander,CA,2020-06-24 02:23:40,48.97,-54.59,69.8,83,40,13.87
77,Praia,CV,2020-06-24 02:23:40,14.92,-23.51,77.0,78,75,13.87
78,Saint-Pierre,RE,2020-06-24 02:23:40,-21.34,55.48,66.2,68,0,5.82
79,Albany,US,2020-06-24 02:23:40,42.6,-73.97,81.0,67,66,1.01
80,Moryakovskiy Zaton,RU,2020-06-24 02:23:40,56.7,84.65,69.01,73,100,4.9
81,Nyurba,RU,2020-06-24 02:23:40,63.28,118.33,77.25,41,2,11.07
82,Mahebourg,MU,2020-06-24 02:23:40,-20.41,57.7,71.6,83,75,11.41
83,Formosa,AR,2020-06-24 02:23:40,-26.18,-58.18,77.0,57,0,13.87
84,Nalut,LY,2020-06-24 02:23:41,30.33,10.85,68.86,56,0,13.2
85,Buin,CL,2020-06-24 02:23:41,-33.73,-70.75,46.4,100,90,6.93
86,Kaitangata,NZ,2020-06-24 02:23:41,-46.28,169.85,46.99,84,98,6.17
87,Myitkyina,MM,2020-06-24 02:23:41,25.38,97.4,75.99,96,100,0.83
88,San Patricio,MX,2020-06-24 02:23:41,19.22,-104.7,82.4,78,75,9.17
89,Nelson Bay,AU,2020-06-24 02:23:41,-32.72,152.15,61.0,51,20,23.04
