City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
62,Mae Hong Son,TH,19.3,97.97,76.69,82,100,1.79,light rain,0.2,0
63,Faanui,PF,-16.48,-151.75,78.46,84,24,12.75,few clouds,0.0,0
64,Hithadhoo,MV,-0.6,73.08,84.58,73,81,11.39,broken clouds,0.0,0
65,Otradnoye,RU,59.78,30.82,77.0,53,0,8.95,clear sky,0.0,0
66,Isangel,VU,-19.55,169.27,72.88,87,92,13.42,overcast clouds,0.0,0
67,Xiuyan,CN,40.29,123.27,62.76,92,99,3.4,light rain,0.41,0
68,Kruisfontein,ZA,-34.0,24.73,59.88,40,0,2.66,clear sky,0.0,0
69,Thompson,CA,55.74,-97.86,69.8,64,90,4.7,overcast clouds,0.0,0
70,Codrington,AU,-38.27,141.97,47.93,76,34,4.94,scattered clouds,0.0,0
71,Belomorsk,RU,64.52,34.77,65.07,68,62,3.44,broken clouds,0.0,0
72,Kapaa,US,22.08,-159.32,75.2,94,75,4.83,broken clouds,0.0,0
73,Acapulco,MX,16.86,-99.89,77.0,94,90,9.17,light rain,0.0,0
74,Saint Anthony,US,45.02,-93.22,82.99,36,1,6.93,clear sky,0.0,0
75,Lompoc,US,34.64,-120.46,62.01,87,90,4.7,overcast clouds,0.0,0
76,Kaa-Khem,RU,51.68,94.73,61.47,75,58,2.91,broken clouds,0.0,0
77,Husavik,IS,66.04,-17.34,55.4,76,40,6.93,scattered clouds,0.0,0
78,Ampanihy,MG,-24.7,44.75,69.37,65,1,12.26,clear sky,0.0,0
79,San Francisco,US,37.77,-122.42,66.0,72,20,5.82,few clouds,0.0,0
80,Sao Filipe,CV,14.9,-24.5,77.34,75,10,11.68,clear sky,0.0,0
81,Akyab,MM,20.15,92.9,83.48,81,100,3.29,overcast clouds,0.0,0
82,Carndonagh,IE,55.25,-7.27,68.0,72,20,9.17,few clouds,0.0,0
83,Cape Town,ZA,-33.93,18.42,59.0,93,90,11.41,heavy intensity rain,4.83,0
84,Kiruna,SE,67.86,20.23,62.6,42,50,17.22,scattered clouds,0.0,0
85,Ribeira Grande,PT,38.52,-28.7,69.8,77,40,16.11,scattered clouds,0.0,0
86,Cardonal,MX,20.6,-99.13,70.3,60,98,4.94,light rain,0.24,0
87,Qaanaaq,GL,77.48,-69.36,38.95,80,54,2.51,broken clouds,0.0,0
88,Zanjan,IR,36.67,48.48,61.95,59,0,11.61,clear sky,0.0,0
